trade_date,chosen_symbol,predicted_pct,actual_pct,equity
2025-01-02,CVS,0.1868,-1.973,98027.05
2025-01-03,CVS,0.188,2.3479,100328.66
2025-01-06,CVS,0.1837,-0.5642,99762.57
2025-01-07,CVS,0.1709,-1.1658,98599.53
2025-01-08,ADBE,0.1738,0.5367,99128.74
2025-01-10,ADBE,0.1797,-0.9951,98142.3
2025-01-13,ADBE,0.1895,1.0463,99169.19
2025-01-14,ADBE,0.1818,1.3407,100498.75
2025-01-15,ADBE,0.1634,-1.0481,99445.38
2025-01-16,ADBE,0.1473,2.0851,101518.89
2025-01-17,MU,0.1484,1.0608,102595.79
2025-01-21,MU,0.1648,3.7466,106439.6
2025-01-22,MU,0.1607,0.055,106498.1
2025-01-23,MU,0.1585,0.0477,106548.91
2025-01-24,MU,0.1611,-2.1896,104215.95
2025-01-27,MU,0.1736,-3.9532,100096.09
2025-01-28,DVN,0.1784,-2.2422,97851.79
2025-01-29,MU,0.187,-0.968,96904.63
2025-01-30,MU,0.1982,2.0296,98871.36
2025-01-31,MU,0.2002,-0.4474,98429.05
2025-02-03,MU,0.1992,1.4326,99839.14
2025-02-04,MU,0.1823,1.808,101644.21
2025-02-05,EA,0.1772,2.6999,104388.54
2025-02-06,EA,0.1705,1.1184,105556.06
2025-02-07,CVS,0.1763,-0.9718,104530.3
2025-02-10,CVS,0.182,-0.1839,104338.11
2025-02-11,CVS,0.1749,0.8064,105179.55
2025-02-12,UPS,0.1582,0.8028,106023.96
2025-02-13,DHR,0.1562,0.4738,106526.26
2025-02-14,EA,0.1582,-0.2621,106247.09
2025-02-18,EA,0.1719,-0.3339,105892.33
2025-02-19,EA,0.1802,0.2092,106113.84
2025-02-20,EA,0.1832,0.3164,106449.59
2025-02-21,EA,0.1836,0.6456,107136.84
2025-02-24,EA,0.1844,2.2268,109522.55
2025-02-25,EA,0.1663,-1.2667,108135.26
2025-02-26,NVDA,0.1772,0.9924,109208.37
2025-02-27,TSLA,0.19,-3.1632,105753.88
2025-02-28,TSLA,0.2196,4.8229,110854.29
2025-03-03,TSLA,0.2274,-5.2241,105063.17
2025-03-04,XYZ,0.2516,-1.5897,103393.02
2025-03-05,XYZ,0.2736,2.2074,105675.27
2025-03-06,XYZ,0.2856,1.2701,107017.46
2025-03-07,XYZ,0.2951,0.3261,107366.4
2025-03-10,XYZ,0.3075,-5.8479,101087.67
2025-03-11,XYZ,0.3245,0.9679,102066.06
2025-03-12,XYZ,0.3332,-0.8514,101197.11
2025-03-13,XYZ,0.3441,-2.3491,98819.87
2025-03-14,XYZ,0.3569,3.0991,101882.4
2025-03-17,XYZ,0.3576,3.5305,105479.31
2025-03-18,MRVL,0.3559,-1.9247,103449.11
2025-03-19,MRVL,0.3636,1.8678,105381.32
2025-03-20,MRVL,0.3608,1.9083,107392.36
2025-03-21,MRVL,0.3544,2.6093,110194.58
2025-03-24,MRVL,0.3438,1.9048,112293.52
2025-03-25,MRVL,0.3261,-1.1448,111007.95
2025-03-26,MRVL,0.3125,-5.9718,104378.75
2025-03-27,MRVL,0.3112,-1.8165,102482.68
2025-03-28,MRVL,0.3125,-4.0074,98375.77
2025-03-31,MRVL,0.3207,1.9708,100314.61
2025-04-01,MRVL,0.3147,1.9853,102306.2
2025-04-02,MRVL,0.2995,2.813,105184.08
2025-04-03,MRVL,0.2658,-5.116,99802.91
2025-04-04,MRVL,0.2523,-6.1871,93627.97
2025-04-07,MRVL,0.2639,7.4589,100611.6
2025-04-08,MRVL,0.2236,-7.7618,92802.33
2025-04-09,MRVL,0.2255,21.2169,112492.14
2025-04-10,MRK,0.2015,-3.7961,108221.88
2025-04-11,MRK,0.2101,1.6823,110042.48
2025-04-14,MRK,0.2212,-1.0622,108873.57
2025-04-15,MU,0.2332,-0.1125,108751.1
2025-04-16,MU,0.2766,2.0609,110992.41
2025-04-17,MU,0.3084,-2.3282,108408.26
2025-04-21,MU,0.3414,-1.5053,106776.37
2025-04-22,MU,0.3648,3.9532,110997.46
2025-04-23,MU,0.3678,-1.0314,109852.69
2025-04-24,MU,0.3727,3.8219,114051.16
2025-04-25,APA,0.3739,1.9963,116327.91
2025-04-28,APA,0.377,1.1614,117678.9
2025-04-29,APA,0.3745,0.1233,117824.01
2025-04-30,APA,0.3714,-2.9357,114365.09
2025-05-01,APA,0.3727,5.0518,120142.59
2025-05-02,APA,0.3506,0.2436,120435.26
2025-05-05,UNH,0.3373,1.4256,122152.23
2025-05-06,UNH,0.3383,-2.0581,119638.23
2025-05-07,UNH,0.3433,-1.0851,118340.02
2025-05-08,UNH,0.3506,-1.141,116989.72
2025-05-09,UNH,0.3582,-1.3042,115463.92
2025-05-12,UNH,0.3663,-0.5906,114782.04
2025-05-13,UNH,0.3654,-7.2556,106453.9
2025-05-14,UNH,0.3619,-4.1811,102003.01
2025-05-15,UNH,0.3612,-0.2001,101798.93
2025-05-16,UNH,0.3552,4.5186,106398.82
2025-05-19,UNH,0.3353,3.6487,110280.95
2025-05-20,UNH,0.3084,0.2057,110507.74
2025-05-21,UNH,0.291,0.6578,111234.68
2025-05-22,UNH,0.2792,0.9459,112286.88
2025-05-23,UNH,0.2729,-0.179,112085.89
2025-05-27,UNH,0.2787,-1.5025,110401.8
2025-05-28,UNH,0.2895,1.398,111945.16
2025-05-29,UNH,0.2912,0.4616,112461.9
2025-05-30,UNH,0.2913,1.3223,113948.97
2025-06-02,UNH,0.2888,0.5278,114550.44
2025-06-03,UNH,0.2761,-0.6203,113839.93
2025-06-04,UNH,0.2648,-1.0411,112654.8
2025-06-05,UNH,0.2568,-1.5114,110952.11
2025-06-06,UNH,0.2556,2.0153,113188.1
2025-06-09,UNH,0.2481,-0.6065,112501.63
2025-06-10,UNH,0.2338,-0.0033,112497.94
2025-06-11,UNH,0.214,2.6034,115426.72
2025-06-12,UNH,0.1838,2.28,118058.48
2025-06-13,UNH,0.152,-0.7502,117172.77
2025-06-16,REGN,0.1474,-1.9141,114929.93
2025-06-17,REGN,0.1551,-2.0047,112625.88
2025-06-18,REGN,0.1676,0.997,113748.79
2025-06-20,REGN,0.1771,-2.1745,111275.38
2025-06-23,REGN,0.1968,0.3765,111694.3
2025-06-24,REGN,0.2039,1.2563,113097.55
2025-06-25,REGN,0.1983,-0.2129,112856.77
2025-06-26,REGN,0.1922,0.1923,113073.8
2025-06-27,REGN,0.1874,-0.1514,112902.61
2025-06-30,REGN,0.1808,0.9208,113942.2
2025-07-01,REGN,0.1599,2.0879,116321.2
2025-07-02,ORCL,0.1466,5.6505,122893.93
2025-07-03,ORCL,0.1234,1.758,125054.4
2025-07-07,MRVL,0.1125,-3.8694,120215.54
2025-07-08,MRVL,0.1114,-0.5254,119583.96
2025-07-09,MRVL,0.1075,-0.3448,119171.66
2025-07-10,MRVL,0.1032,1.326,120751.83
2025-07-11,GS,0.1056,0.1933,120985.24
2025-07-14,NKE,0.1155,-0.1244,120834.72
2025-07-15,NKE,0.1294,-0.3737,120383.22
2025-07-16,NKE,0.1388,0.2782,120718.07
2025-07-17,NKE,0.1459,1.1925,122157.59
2025-07-18,NKE,0.15,-1.1053,120807.32
2025-07-21,NKE,0.1567,1.4946,122612.88
2025-07-22,NKE,0.1469,1.7821,124797.96
2025-07-23,ELV,0.156,4.5839,130518.6
2025-07-24,ELV,0.1542,-3.3,126211.49
2025-07-25,ELV,0.1648,1.9178,128631.96
2025-07-28,ELV,0.1703,-0.9696,127384.75
2025-07-29,ELV,0.1756,1.4868,129278.74
2025-07-30,ELV,0.1706,0.8971,130438.48
2025-07-31,ELV,0.1657,-2.4333,127264.5
2025-08-01,CHTR,0.1967,-2.1587,124517.21
2025-08-04,CHTR,0.2387,-1.457,122703.03
2025-08-05,CHTR,0.2702,1.6161,124685.98
2025-08-06,CHTR,0.2867,-1.4257,122908.31
2025-08-07,CHTR,0.3027,-1.4584,121115.78
2025-08-08,CHTR,0.3178,-0.9,120025.79
2025-08-11,CHTR,0.33,0.5752,120716.2
2025-08-12,CHTR,0.3326,1.2079,122174.31
2025-08-13,CHTR,0.3286,2.7973,125591.91
2025-08-14,CHTR,0.3172,-1.0601,124260.55
2025-08-15,CHTR,0.3143,1.1177,125649.36
2025-08-18,CHTR,0.3112,-0.4663,125063.44
2025-08-19,CHTR,0.3056,0.075,125157.19
2025-08-20,CHTR,0.2949,-0.5483,124470.92
2025-08-21,CHTR,0.2822,0.9113,125605.21
2025-08-22,CHTR,0.2596,2.7617,129074.09
2025-08-25,FTNT,0.2393,-2.8285,125423.18
2025-08-26,FTNT,0.2447,-0.3849,124940.48
2025-08-27,FTNT,0.2462,0.1153,125084.56
2025-08-28,FTNT,0.2462,1.4198,126860.52
2025-08-29,FTNT,0.2411,-0.5052,126219.56
2025-09-02,FTNT,0.239,2.2461,129054.64
2025-09-03,FTNT,0.2211,-0.1955,128802.35
2025-09-04,FTNT,0.2024,0.236,129106.37
2025-09-05,FTNT,0.1818,2.4964,132329.41
2025-09-08,UNH,0.1628,0.1689,132552.92
2025-09-09,UNH,0.1488,4.6376,138700.19
2025-09-10,UNH,0.1143,0.3531,139189.87
2025-09-11,SNOW,0.1005,-0.6988,138217.25
2025-09-12,SNOW,0.1155,-1.4922,136154.76
2025-09-15,SNOW,0.1324,1.7003,138469.84
2025-09-16,SNOW,0.1304,-2.3911,135158.93
2025-09-17,SNPS,0.1445,0.0941,135286.13
2025-09-18,SNPS,0.1819,4.3717,141200.49
2025-09-19,SNPS,0.199,3.4447,146064.39
2025-09-22,SNPS,0.2058,5.0592,153454.05
2025-09-23,SNPS,0.1939,-4.1333,147111.39
2025-09-24,SNPS,0.1975,-4.666,140247.19
2025-09-25,SNPS,0.2135,5.3405,147737.15
2025-09-26,SNPS,0.215,2.2258,151025.42
2025-09-29,SNPS,0.2184,-1.3094,149047.85
2025-09-30,SNPS,0.2255,2.3525,152554.14
2025-10-01,SNPS,0.2272,0.0061,152563.5
2025-10-02,SNPS,0.2322,-2.7955,148298.52
2025-10-03,SNPS,0.2425,-0.9145,146942.38
2025-10-06,SNPS,0.2541,1.3199,148881.94
2025-10-07,SNPS,0.2512,-1.2972,146950.61
2025-10-08,SNPS,0.2452,2.6321,150818.46
2025-10-09,SNPS,0.227,-0.6338,149862.5
2025-10-10,SNPS,0.2132,-9.3908,135789.21
2025-10-13,SNPS,0.2133,-0.3293,135342.09
2025-10-14,SNPS,0.2026,1.6842,137621.52
2025-10-15,SNPS,0.1781,-2.3215,134426.61
2025-10-16,SNPS,0.1648,0.1524,134631.53
2025-10-17,FCX,0.1796,-1.0096,133272.27
2025-10-20,FCX,0.1991,0.6201,134098.66
2025-10-21,FCX,0.2022,0.267,134456.7
2025-10-22,FCX,0.1958,0.3198,134886.68
2025-10-23,FCX,0.1859,-0.5308,134170.75
2025-10-24,FCX,0.1761,0.5102,134855.3
2025-10-27,FCX,0.1639,-1.5097,132819.38
2025-10-28,FCX,0.1438,1.4289,134717.26
2025-10-29,FCX,0.1114,1.1266,136234.92
2025-10-30,AMD,0.0985,-1.9545,133572.27
2025-10-31,PGR,0.1048,0.1166,133728.07
2025-11-03,PSKY,0.1142,0.3906,134250.45
2025-11-04,FISV,0.1632,-0.2939,133855.83
2025-11-05,FISV,0.2157,0.4079,134401.84
2025-11-06,FISV,0.259,-3.4013,129830.49
2025-11-07,FISV,0.2969,4.5119,135688.31
2025-11-10,FISV,0.3191,-0.1721,135454.77
2025-11-11,FISV,0.3394,1.0377,136860.44
2025-11-12,CMG,0.2305,3.7773,142030.11
2025-11-13,FISV,0.3535,-0.4934,141329.27
2025-11-14,FISV,0.3625,-0.9063,140048.47
2025-11-17,FISV,0.3716,-1.3686,138131.81
2025-11-18,FISV,0.3772,-1.3192,136309.61
2025-11-19,FISV,0.3802,-0.5689,135534.11
2025-11-20,FISV,0.3825,-3.0652,131379.72
2025-11-21,FISV,0.3861,1.5693,133441.44
2025-11-24,FISV,0.3846,0.5136,134126.77
2025-11-25,FISV,0.381,0.1483,134325.74
2025-11-26,FISV,0.3741,-0.0657,134237.42
2025-11-28,FISV,0.3539,0.5726,135006.13
2025-12-01,FISV,0.3232,2.0345,137752.84
2025-12-02,FISV,0.267,0.6045,138585.58
2025-12-03,FISV,0.2031,3.5256,143471.54
2025-12-04,ZS,0.1675,-0.645,142546.19
2025-12-05,ZS,0.1835,-0.4267,141937.91
2025-12-08,ZS,0.1983,0.5667,142742.32
2025-12-09,ZS,0.1968,-0.4098,142157.34
2025-12-10,ZS,0.1929,0.4334,142773.52
2025-12-11,ZS,0.1858,0.3648,143294.42
2025-12-12,ZS,0.1779,-2.2829,140023.18
2025-12-15,ZS,0.1776,-3.0274,135784.16
2025-12-16,ZS,0.1763,-0.0944,135655.95
2025-12-17,ZS,0.1703,-2.7321,131949.73
2025-12-18,ZS,0.1687,1.0959,133395.72
2025-12-19,ZS,0.1617,0.6231,134226.89
2025-12-22,ZS,0.1524,-0.757,133210.8
2025-12-23,INTC,0.137,0.3035,133615.12
2025-12-24,INTC,0.122,2.8149,137376.26
2025-12-26,WBD,0.1012,0.5938,138191.98
2025-12-29,WBD,0.0972,-0.0347,138144.0
2025-12-30,MPC,0.089,-0.4678,137497.73
2025-12-31,MPC,0.0869,-0.8898,136274.35
